rank,character,read_value,candidates,correct
1,Ganondorf,19.0,{'19': 3},
2,Donkey Kong,12.0,{'12': 3},
3,Jigglypuff,7.0,{'7': 3},
4,Samus,6.0,{'6': 3},
5,Dark Samus,0.0,{'0': 2},
5,Yoshi,0.0,{'0': 2},
5,Kirby,0.0,{'0': 2},
5,Fox,0.0,{'0': 3},
5,Luigi,0.0,{'0': 2},
5,Ness,0.0,{'0': 2},
5,Captain Falcon,0.0,{'0': 2},
5,Peach,0.0,{'0': 1},
5,Daisy,0.0,{'0': 2},
5,Bowser,0.0,{'0': 1},
5,Ice Climbers,0.0,{'0': 3},
5,Sheik,0.0,{'0': 3},
5,Zelda,0.0,{'0': 2},
5,Dr Mario,0.0,"{'0': 2, '8': 1}",
5,Pichu,0.0,{'0': 1},
5,Falco,0.0,{'0': 3},
5,Marth,0.0,{'0': 1},
5,Lucina,0.0,{'0': 2},
5,Young Link,0.0,{'0': 2},
5,Mewtwo,0.0,{'0': 2},
5,Roy,0.0,{'0': 2},
5,Chrom,0.0,{'0': 1},
5,Mr Game and Watch,0.0,{'0': 2},
5,Meta Knight,0.0,{'0': 1},
5,Pit,0.0,{'0': 2},
5,Dark Pit,0.0,{'0': 2},
5,Wario,0.0,{'0': 3},
5,Snake,0.0,{'0': 3},
5,Ike,0.0,{'0': 2},
5,Lucas,0.0,{'0': 1},
5,Sonic,0.0,{'0': 3},
5,King Dedede,0.0,{'0': 1},
5,Olimar,0.0,{'0': 1},
5,Lucario,0.0,{'0': 3},
5,ROB,0.0,{'0': 1},
5,Sephiroth,0.0,{'0': 5},
5,Villager,0.0,{'0': 1},
5,Mega Man,0.0,{'0': 1},
5,Greninja,0.0,{'0': 1},
5,Palutena,0.0,{'0': 1},
5,Robin,0.0,{'0': 2},
5,Ken,0.0,{'0': 1},
5,Corrin,0.0,{'0': 2},
5,Inkling,0.0,{'0': 3},
5,Ridley,0.0,{'0': 1},
5,King K Rool,0.0,{'0': 2},
5,Isabelle,0.0,{'0': 1},
5,Incineroar,0.0,{'0': 2},
5,Piranha Plant,0.0,{'0': 1},
5,Joker,0.0,{'0': 3},
5,Hero,0.0,{'0': 2},
5,Banjo and Kazooie,0.0,{'0': 3},
5,Terry,0.0,{'0': 1},
5,Byleth,0.0,{'0': 1},
5,Kazuya,0.0,{'0': 1},
5,Mii Gunner,0.0,{'0': 1},
5,Mario,0.0,{'0': 3},
5,Link,0.0,{'0': 2},
5,Pikachu,0.0,{'0': 3},
5,Zero Suit Samus,0.0,{'0': 2},
5,Pokemon Trainer,0.0,{'0': 2},
5,Diddy Kong,0.0,{'0': 1},
5,Toon Link,0.0,{'0': 1},
5,Wii Fit Trainer,0.0,{'0': 2},
5,Rosalina and Luma,0.0,{'0': 2},
5,Little Mac,0.0,{'0': 4},
5,Pac-Man,0.0,{'0': 3},
5,Shulk,0.0,{'0': 2},
5,Bowser Jr,0.0,{'0': 2},
5,Duck Hunt,0.0,{'0': 3},
5,Ryu,0.0,{'0': 1},
5,Cloud,0.0,{'0': 1},
5,Bayonetta,0.0,{'0': 2},
5,Simon,0.0,{'0': 1},
5,Richter,0.0,{'0': 3},
5,Min Min,0.0,{'0': 3},
5,Steve,0.0,{'0': 3},
5,Pyra-Mythra,0.0,{'0': 4},
5,Sora,0.0,{'0': 4},
5,Mii Brawler,0.0,{'0': 2},
5,Mii Swordsman,0.0,{'0': 2},
