rank,character,read_value,candidates,correct
1,Villager,130.0,{'130': 3},
2,Hero,95.0,"{'95': 2, '55': 1}",
3,Ike,8.0,{'8': 2},
3,Cloud,8.0,{'8': 4},
5,Little Mac,4.0,{'4': 6},
6,Mario,0.0,{'0': 5},
6,Donkey Kong,0.0,{'0': 2},
6,Link,0.0,{'0': 3},
6,Samus,0.0,{'0': 2},
6,Yoshi,0.0,{'0': 2},
6,Kirby,0.0,{'0': 3},
6,Fox,0.0,{'0': 2},
6,Luigi,0.0,{'0': 2},
6,Ness,0.0,{'0': 1},
6,Captain Falcon,0.0,{'0': 2},
6,Jigglypuff,0.0,{'0': 1},
6,Peach,0.0,{'0': 1},
6,Bowser,0.0,{'0': 2},
6,Ice Climbers,0.0,{'0': 2},
6,Zelda,0.0,{'0': 1},
6,Pichu,0.0,{'0': 2},
6,Falco,0.0,{'0': 3},
6,Marth,0.0,{'0': 1},
6,Young Link,0.0,{'0': 1},
6,Ganondorf,0.0,{'0': 1},
6,Chrom,0.0,{'0': 2},
6,Meta Knight,0.0,{'0': 1},
6,Pit,0.0,{'0': 2},
6,Dark Pit,0.0,{'0': 3},
6,Zero Suit Samus,0.0,{'0': 3},
6,Snake,0.0,{'0': 1},
6,Lucas,0.0,{'0': 2},
6,King Dedede,0.0,{'0': 2},
6,Lucario,0.0,{'0': 2},
6,Toon Link,0.0,{'0': 2},
6,Wolf,0.0,{'0': 2},
6,Mega Man,0.0,{'0': 3},
6,Palutena,0.0,{'0': 2},
6,Pac-Man,0.0,{'0': 1},
6,Shulk,0.0,{'0': 4},
6,Corrin,0.0,{'0': 3},
6,Bayonetta,0.0,{'0': 3},
6,Inkling,0.0,{'0': 3},
6,Ridley,0.0,{'0': 1},
6,King K Rool,0.0,{'0': 2},
6,Isabelle,0.0,{'0': 2},
6,Piranha Plant,0.0,{'0': 1},
6,Joker,0.0,{'0': 2},
6,Banjo and Kazooie,0.0,{'0': 1},
6,Terry,0.0,{'0': 2},
6,Byleth,0.0,{'0': 2},
6,Min Min,0.0,{'0': 3},
6,Sephiroth,0.0,{'0': 3},
6,Dark Samus,0.0,{'0': 2},
6,Pikachu,0.0,{'0': 3},
6,Daisy,0.0,{'0': 2},
6,Sheik,0.0,{'0': 1},
6,Dr Mario,0.0,{'0': 1},
6,Lucina,0.0,{'0': 2},
6,Mewtwo,0.0,{'0': 1},
6,Roy,0.0,{'0': 2},
6,Mr Game and Watch,0.0,{'0': 2},
6,Wario,0.0,{'0': 3},
6,Pokemon Trainer,0.0,{'0': 1},
6,Diddy Kong,0.0,{'0': 2},
6,Sonic,0.0,{'0': 1},
6,Olimar,0.0,{'0': 2},
6,ROB,0.0,{'0': 2},
6,Wii Fit Trainer,0.0,{'0': 3},
6,Rosalina and Luma,0.0,{'0': 3},
6,Greninja,0.0,{'0': 1},
6,Robin,0.0,{'0': 1},
6,Bowser Jr,0.0,{'0': 2},
6,Duck Hunt,0.0,{'0': 2},
6,Ryu,0.0,{'0': 2},
6,Ken,0.0,{'0': 2},
6,Simon,0.0,{'0': 1},
6,Richter,0.0,{'0': 1},
6,Incineroar,0.0,{'0': 4},
6,Steve,0.0,{'0': 4},
6,Pyra-Mythra,0.0,{'0': 5},
6,Kazuya,0.0,{'0': 3},
6,Sora,0.0,{'0': 4},
6,Mii Brawler,0.0,{'0': 2},
6,Mii Swordsman,0.0,{'0': 2},
6,Mii Gunner,0.0,{'0': 1},
