rank,character,read_value,candidates,correct
1,Villager,65.0,{'65': 3},
2,Peach,43.0,"{'43': 2, '430': 1}",
3,Ice Climbers,3.0,{'3': 3},
4,Mr Game and Watch,2.0,{'2': 3},
5,Donkey Kong,1.0,{'1': 3},
5,Ganondorf,1.0,{'1': 3},
5,Rosalina and Luma,1.0,{'1': 3},
8,Mario,0.0,{'0': 3},
8,Link,0.0,{'0': 2},
8,Samus,0.0,{'0': 1},
8,Dark Samus,0.0,{'0': 1},
8,Yoshi,0.0,{'0': 1},
8,Kirby,0.0,{'0': 2},
8,Fox,0.0,{'0': 2},
8,Pikachu,0.0,{'0': 4},
8,Luigi,0.0,{'0': 2},
8,Ness,0.0,{'0': 2},
8,Captain Falcon,0.0,{'0': 1},
8,Jigglypuff,0.0,{'0': 2},
8,Daisy,0.0,{'0': 1},
8,Bowser,0.0,{'0': 2},
8,Sheik,0.0,{'0': 3},
8,Zelda,0.0,{'0': 1},
8,Dr Mario,0.0,{'0': 1},
8,Pichu,0.0,"{'0': 1, '3': 1}",
8,Falco,0.0,{'0': 2},
8,Marth,0.0,{'0': 1},
8,Lucina,0.0,{'0': 1},
8,Young Link,0.0,{'0': 1},
8,Mewtwo,0.0,{'0': 1},
8,Roy,0.0,{'0': 2},
8,Chrom,0.0,{'0': 2},
8,Meta Knight,0.0,{'0': 3},
8,Pit,0.0,{'0': 2},
8,Dark Pit,0.0,{'0': 2},
8,Zero Suit Samus,0.0,{'0': 2},
8,Wario,0.0,{'0': 1},
8,Snake,0.0,{'0': 3},
8,Ike,0.0,{'0': 1},
8,Pokemon Trainer,0.0,{'0': 2},
8,Diddy Kong,0.0,{'0': 1},
8,Lucas,0.0,{'0': 3},
8,Sonic,0.0,{'0': 1},
8,King Dedede,0.0,{'0': 3},
8,Olimar,0.0,{'0': 2},
8,Lucario,0.0,{'0': 3},
8,ROB,0.0,{'0': 1},
8,Toon Link,0.0,{'0': 1},
8,Sephiroth,0.0,{'0': 3},
8,Mega Man,0.0,{'0': 2},
8,Wii Fit Trainer,0.0,"{'0': 3, '8': 1}",
8,Little Mac,0.0,{'0': 1},
8,Greninja,0.0,{'0': 2},
8,Palutena,0.0,{'0': 1},
8,Pac-Man,0.0,{'0': 2},
8,Robin,0.0,{'0': 1},
8,Shulk,0.0,{'0': 2},
8,Bowser Jr,0.0,{'0': 5},
8,Duck Hunt,0.0,{'0': 1},
8,Ryu,0.0,{'0': 1},
8,Ken,0.0,{'0': 1},
8,Cloud,0.0,"{'0': 2, '4': 1}",
8,Corrin,0.0,{'0': 1},
8,Bayonetta,0.0,{'0': 1},
8,Inkling,0.0,{'0': 3},
8,Ridley,0.0,{'0': 1},
8,Simon,0.0,{'0': 3},
8,Richter,0.0,{'0': 2},
8,King K Rool,0.0,{'0': 1},
8,Isabelle,0.0,{'0': 2},
8,Incineroar,0.0,{'0': 2},
8,Piranha Plant,0.0,{'0': 4},
8,Joker,0.0,{'0': 1},
8,Hero,0.0,{'0': 2},
8,Banjo and Kazooie,0.0,{'0': 2},
8,Terry,0.0,{'0': 2},
8,Byleth,0.0,{'0': 1},
8,Min Min,0.0,{'0': 2},
8,Steve,0.0,{'0': 5},
8,Pyra-Mythra,0.0,{'0': 5},
8,Kazuya,0.0,{'0': 3},
8,Sora,0.0,{'0': 5},
8,Mii Brawler,0.0,{'0': 3},
8,Mii Swordsman,0.0,{'0': 3},
8,Mii Gunner,0.0,{'0': 4},
