rank,character,read_value,candidates,correct
1,Jigglypuff,46780.0,{'46780': 1},
2,Captain Falcon,1814.0,{'1814': 3},
3,Cloud,1614.0,{'1614': 3},
4,Young Link,1484.0,{'1484': 3},
5,Hero,997.0,{'997': 3},
6,Lucas,891.0,{'891': 3},
7,Samus,872.0,{'872': 3},
8,Sonic,855.0,{'855': 3},
9,Daisy,553.0,{'553': 3},
10,Mii Gunner,143.0,{'143': 3},
11,Sephiroth,33.0,"{'33': 3, '0': 1}",
12,Mario,0.0,{'0': 2},
12,Donkey Kong,0.0,{'0': 1},
12,Link,0.0,{'0': 2},
12,Dark Samus,0.0,{'0': 1},
12,Yoshi,0.0,{'0': 1},
12,Kirby,0.0,{'0': 3},
12,Fox,0.0,{'0': 1},
12,Pikachu,0.0,{'0': 2},
12,Luigi,0.0,{'0': 3},
12,Ness,0.0,{'0': 2},
12,Peach,0.0,{'0': 3},
12,Bowser,0.0,{'0': 2},
12,Ice Climbers,0.0,{'0': 2},
12,Sheik,0.0,{'0': 2},
12,Zelda,0.0,{'0': 2},
12,Dr Mario,0.0,{'0': 1},
12,Pichu,0.0,{'0': 2},
12,Falco,0.0,{'0': 2},
12,Marth,0.0,{'0': 3},
12,Lucina,0.0,{'0': 2},
12,Ganondorf,0.0,{'0': 2},
12,Mewtwo,0.0,{'0': 1},
12,Roy,0.0,{'0': 2},
12,Chrom,0.0,{'0': 2},
12,Mr Game and Watch,0.0,{'0': 2},
12,Meta Knight,0.0,{'0': 2},
12,Pit,0.0,{'0': 1},
12,Dark Pit,0.0,{'0': 1},
12,Zero Suit Samus,0.0,{'0': 2},
12,Wario,0.0,{'0': 2},
12,Snake,0.0,{'0': 2},
12,Ike,0.0,{'0': 2},
12,Pokemon Trainer,0.0,{'0': 1},
12,Diddy Kong,0.0,{'0': 1},
12,King Dedede,0.0,{'0': 1},
12,Olimar,0.0,{'0': 2},
12,Lucario,0.0,{'0': 2},
12,ROB,0.0,{'0': 3},
12,Toon Link,0.0,{'0': 2},
12,Villager,0.0,{'0': 2},
12,Mega Man,0.0,{'0': 3},
12,Wii Fit Trainer,0.0,{'0': 1},
12,Rosalina and Luma,0.0,{'0': 2},
12,Little Mac,0.0,{'0': 2},
12,Greninja,0.0,{'0': 2},
12,Palutena,0.0,{'0': 2},
12,Pac-Man,0.0,{'0': 3},
12,Robin,0.0,{'0': 3},
12,Shulk,0.0,{'0': 2},
12,Bowser Jr,0.0,{'0': 1},
12,Duck Hunt,0.0,{'0': 2},
12,Ryu,0.0,{'0': 1},
12,Ken,0.0,{'0': 2},
12,Corrin,0.0,{'0': 1},
12,Bayonetta,0.0,{'0': 2},
12,Inkling,0.0,{'0': 2},
12,Ridley,0.0,{'0': 2},
12,Simon,0.0,{'0': 1},
12,Richter,0.0,{'0': 2},
12,King K Rool,0.0,{'0': 2},
12,Isabelle,0.0,{'0': 2},
12,Incineroar,0.0,{'0': 1},
12,Piranha Plant,0.0,{'0': 3},
12,Joker,0.0,{'0': 1},
12,Banjo and Kazooie,0.0,{'0': 2},
12,Terry,0.0,{'0': 1},
12,Byleth,0.0,{'0': 3},
12,Min Min,0.0,{'0': 3},
12,Steve,0.0,{'0': 4},
12,Pyra-Mythra,0.0,{'0': 2},
12,Kazuya,0.0,{'0': 1},
12,Sora,0.0,{'0': 2},
12,Mii Brawler,0.0,{'0': 1},
12,Mii Swordsman,0.0,{'0': 2},
